#,author,year,variable,n,n1,n2,G1,G2,G2_type,mean_G1,sd_G1,se_G1,mean_G2,sd_G2,se_G2,country,auth_year
1,Prinz,1982,SL_m,,11,10,HC,AD,AD,15.33,13.59,4.097539172811808,9.97,5.18,1.6380598279672203,USA,Prinz_1982
3,Montplaisir,1995,SL_m,,10,10,HC,AD,AD,19.03,5.75,1.818309654596818,15.23,4.14,1.3091829513097089,Canada,Montplaisir_1995
3,Montplaisir,1995,N1_p,,10,10,HC,AD,AD,15.23,1.34,0.4237452064625628,20.98,4.06,1.2838847300283618,Canada,Montplaisir_1995
3,Montplaisir,1995,N2_p,,10,10,HC,AD,AD,59.12,1.98,0.6261309767133391,61.66,3.59,1.1352576800004481,Canada,Montplaisir_1995
3,Montplaisir,1995,REM_p,,10,10,HC,AD,AD,17.29,1.0,0.31622776601683794,12.26,1.54,0.4869907596659304,Canada,Montplaisir_1995
3,Montplaisir,1995,TST_m,,10,10,HC,AD,AD,434.7,13.78,4.357618615712027,431,22.99,7.270076340727103,Canada,Montplaisir_1995
4,Gagnon,2006,SL_m,,15,14,HC,AD,AD,14.4,12.1,3.1242065659406495,35.2,44.8,11.973303637676612,Canada,Gagnon_2006
4,Gagnon,2006,N1_p,,15,14,HC,AD,AD,13.3,7.5,1.9364916731037083,22.3,15.5,4.142549249642578,Canada,Gagnon_2006
4,Gagnon,2006,N2_p,,15,14,HC,AD,AD,65.4,8.1,2.091411006952005,58.5,14,3.7416573867739413,Canada,Gagnon_2006
4,Gagnon,2006,REM_p,,15,14,HC,AD,AD,18.3,5.5,1.420093893609386,17.3,8.7,2.325172804638092,Canada,Gagnon_2006
4,Gagnon,2006,TST_m,,15,14,HC,AD,AD,402.4,47.7,12.316087040939586,353,83,22.182683078731223,Canada,Gagnon_2006
4,Gagnon,2006,SE_p,,15,14,HC,AD,AD,84.6,9.0,2.32379000772445,76.7,13.9,3.714931262582699,Canada,Gagnon_2006
6,Yu,2009,N1_p,,13,10,HC,AD,AD,18.57,9.59,2.6597874408999735,21.54,11.9,3.763110415600371,Taiwan,Yu_2009
6,Yu,2009,N2_p,,13,10,HC,AD,AD,61.7,11.56,3.2061671341818245,59.26,11.15,3.525939591087743,Taiwan,Yu_2009
6,Yu,2009,N3_p,,13,10,HC,AD,AD,4.35,5.71,1.5836690602230292,4.56,7.95,2.5140107398338616,Taiwan,Yu_2009
6,Yu,2009,REM_p,,13,10,HC,AD,AD,15.33,7.77,2.155010262335015,14.19,7.46,2.359059134485611,Taiwan,Yu_2009
6,Yu,2009,TST_m,,13,10,HC,AD,AD,333.54,61.4,17.029296024114533,310,96.1,30.38948831421812,Taiwan,Yu_2009
6,Yu,2009,SE_p,,13,10,HC,AD,AD,79.14,11.06,3.0674920851255174,68.71,21.04,6.653432196994269,Taiwan,Yu_2009
9,Dykierek,1998,N1_p,,42,35,HC,AD,AD,12.1,7.2,1.1109841197270618,15.4,10.3,1.7410177647407443,Germany,Dykierek_1998
