#,author,year,variable,n,n1,n2,G1,G2,G2_type,mean_G1,sd_G1,se_G1,mean_G2,sd_G2,se_G2,country,auth_year
8,Maestri,2015,N1_p,30,20,10,HC,FTDbv,FTD,7.8,3.2,0.7155417527999327,29.2,18.6,5.8818364479131855,Italy,Maestri_2015
8,Maestri,2015,N2_p,30,20,10,HC,FTDbv,FTD,46.7,10.1,2.2584286572747874,50.5,14.6,4.6169253838458335,Italy,Maestri_2015
8,Maestri,2015,N3_p,30,20,10,HC,FTDbv,FTD,23.3,5.0,1.118033988749895,9.1,5.3,1.676007159889241,Italy,Maestri_2015
8,Maestri,2015,REM_p,30,20,10,HC,FTDbv,FTD,22.2,7.1,1.5876082640248506,10.7,4.4,1.3914021704740869,Italy,Maestri_2015
8,Maestri,2015,WASO_m,30,20,10,HC,FTDbv,FTD,107.2,75.8,16.949395269448406,87.6,46.5,14.704591119782963,Italy,Maestri_2015
8,Maestri,2015,SL_m,30,20,10,HC,FTDbv,FTD,25.2,26.0,5.813776741499453,36,26.1,8.25354469303947,Italy,Maestri_2015
8,Maestri,2015,TST_m,30,20,10,HC,FTDbv,FTD,401.5,68.0,15.205262246998569,225.4,56.1,17.740377673544607,Italy,Maestri_2015
8,Maestri,2015,SE_p,30,20,10,HC,FTDbv,FTD,82.1,13.8,3.08577380894971,73.1,15.6,4.9331531498626715,Italy,Maestri_2015
8,Maestri,2015,WASO_m,30,20,10,HC,FTDbv,FTD,107.2,75.8,16.949395269448406,87.6,46.5,14.704591119782963,Italy,Maestri_2015
15,Bonakis,2014,N1_p,32,20,12,HC,FTDbv,FTD,8.8,5.93,1.325988310657375,16.3,8.27,2.3873433630991023,Greece,Bonakis_2014
15,Bonakis,2014,N2_p,32,20,12,HC,FTDbv,FTD,53.8,10.01,2.2383040454772893,35.9,13.3,3.8393792901110118,Greece,Bonakis_2014
15,Bonakis,2014,REM_p,32,20,12,HC,FTDbv,FTD,17.9,7.14,1.5965525359348498,11.1,6.17,1.7811255804499955,Greece,Bonakis_2014
15,Bonakis,2014,N3_p,32,20,12,HC,FTDbv,FTD,19.4,10.42,2.329982832554781,17.6,9.36,2.7019992598074487,Greece,Bonakis_2014
15,Bonakis,2014,TST_m,32,20,12,HC,FTDbv,FTD,355.8,65.15,14.56798287341113,283,80.26,23.169066302579683,Greece,Bonakis_2014
15,Bonakis,2014,SE_p,32,20,12,HC,FTDbv,FTD,80.3,10.46,2.33892710446478,72.1,17.98,5.190378920014736,Greece,Bonakis_2014
24,Oh,2022,TST_m,52,32,20,HC,PSP,FTD,374.34,77.44,13.689587283771559,285.39,106.83,23.887914203630253,USA,Oh_2022
24,Oh,2022,WASO_m,52,32,20,HC,PSP,FTD,91.67,54.73,9.674988533584935,183.72,115.15,25.748322760910078,USA,Oh_2022
29,Levendowski,2023,REM_p,74,61,13,HC,PSP,FTD,21.2,5.8,0.7426139036107967,7.6,7.6,2.1078607456558704,USA,Levendowski_2023
29,Levendowski,2023,TST_m,74,61,13,HC,PSP,FTD,378.0,54.0,6.913991516376383,312.0,90.0,24.961508830135312,USA,Levendowski_2023
